data_dte,Airport Name,CITY,STATE,COUNTRY,Scheduled,Charter,Total
7/1/21,"New York, NY: John F. Kennedy International",NEW YORK,NEW YORK,USA,1510606,177,1510783
7/1/21,"New York, NY: LaGuardia",NEW YORK,NEW YORK,USA,21162,5,21167
7/1/21,"Newburgh/Poughkeepsie, NY: New York Stewart International",NEWBURGH,NEW YORK,USA,665,4,669
7/1/21,"Rochester, NY: Frederick Douglass Grtr Rochester International",ROCHESTER,NEW YORK,USA,0,5,5
7/1/21,"Syracuse, NY: Syracuse Hancock International",SYRACUSE,NEW YORK,USA,0,6,6
7/1/21,"Westhampton, NY: Francis S. Gabreski",WESTHAMPTON,NEW YORK,USA,0,71,71
7/1/21,"White Plains, NY: Westchester County",WHITE PLAINS,NEW YORK,USA,0,150,150
7/1/21,"Charlotte, NC: Charlotte Douglas International",CHARLOTTE,NORTH CAROLINA,USA,269077,0,269077
7/1/21,"Raleigh/Durham, NC: Raleigh-Durham International",RALEIGH/DURHAM,NORTH CAROLINA,USA,10420,0,10420
7/1/21,"Wilmington, NC: Wilmington International",WILMINGTON,NORTH CAROLINA,USA,163,0,163
7/1/21,"Minot, ND: Minot International",MINOT,NORTH DAKOTA,USA,0,5,5
7/1/21,"Cincinnati, OH: Cincinnati Municipal Lunken Field",CINCINNATI,OHIO,USA,0,83,83
7/1/21,"Cincinnati, OH: Cincinnati/Northern Kentucky International",CINCINNATI,OHIO,USA,3551,4354,7905
7/1/21,"Cleveland, OH: Cleveland-Hopkins International",CLEVELAND,OHIO,USA,10042,841,10883
7/1/21,"Columbus, OH: John Glenn Columbus International",COLUMBUS,OHIO,USA,1314,1453,2767
7/1/21,"Portland, OR: Portland International",PORTLAND,OREGON,USA,16717,5,16722
7/1/21,"Erie, PA: Erie International/Tom Ridge Field",ERIE,PENNSYLVANIA,USA,0,5,5
7/1/21,"Mt. Pocono, PA: Pocono Mountains Regional",MT. POCONO,PENNSYLVANIA,USA,0,1,1
7/1/21,"Philadelphia, PA: Philadelphia International",PHILADELPHIA,PENNSYLVANIA,USA,127536,16,127552
7/1/21,"Pittsburgh, PA: Pittsburgh International",PITTSBURGH,PENNSYLVANIA,USA,3821,4081,7902
7/1/21,"Providence, RI: Rhode Island Tf Green International",PROVIDENCE,RHODE ISLAND,USA,0,4,4
7/1/21,"Camden, SC: Woodward Field",CAMDEN,SOUTH CAROLINA,USA,0,2,2
7/1/21,"Charleston, SC: Charleston AFB/International",CHARLESTON,SOUTH CAROLINA,USA,864,0,864
7/1/21,"Columbia, SC: Columbia Metropolitan",COLUMBIA,SOUTH CAROLINA,USA,237,0,237
7/1/21,"Chattanooga, TN: Lovell Field",CHATTANOOGA,TENNESSEE,USA,162,0,162
7/1/21,"Memphis, TN: Memphis International",MEMPHIS,TENNESSEE,USA,0,1388,1388
7/1/21,"Nashville, TN: Nashville International",NASHVILLE,TENNESSEE,USA,5480,1206,6686
7/1/21,"Austin, TX: Austin - Bergstrom International",AUSTIN,TEXAS,USA,32868,8,32876
7/1/21,"Brownsville, TX: Brownsville South Padre Island International",BROWNSVILLE,TEXAS,USA,0,781,781
7/1/21,"Corpus Christi, TX: Corpus Christi International",CORPUS CHRISTI,TEXAS,USA,118,0,118
7/1/21,"Dallas, TX: Dallas Love Field",DALLAS/FT.WORTH,TEXAS,USA,0,32,32
7/1/21,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DALLAS/FT.WORTH,TEXAS,USA,741017,37,741054
7/1/21,"Harlingen/San Benito, TX: Valley International",HARLINGEN,TEXAS,USA,5529,0,5529
7/1/21,"Houston, TX: George Bush Intercontinental/Houston",HOUSTON,TEXAS,USA,777264,880,778144
7/1/21,"Houston, TX: William P Hobby",HOUSTON,TEXAS,USA,81125,0,81125
7/1/21,"Laredo, TX: Laredo International",LAREDO,TEXAS,USA,0,733,733
7/1/21,"San Antonio, TX: San Antonio International",SAN ANTONIO,TEXAS,USA,85500,221,85721
7/1/21,"Sugar Land, TX: Sugar Land Regional",SUGAR LAND,TEXAS,USA,0,7,7
7/1/21,"Temple, TX: Draughon-Miller Central Texas Regional",TEMPLE,TEXAS,USA,0,7,7
7/1/21,"Provo, UT: Provo Municipal",PROVO,UTAH,USA,0,3,3
7/1/21,"Salt Lake City, UT: Salt Lake City International",SALT LAKE CITY,UTAH,USA,57545,152,57697
7/1/21,"Burlington, VT: Burlington International",BURLINGTON,VERMONT,USA,0,8,8
7/1/21,"Norfolk, VA: Norfolk International",NORFOLK,VIRGINIA,USA,324,0,324
7/1/21,"Richmond, VA: Richmond International",RICHMOND,VIRGINIA,USA,232,0,232
7/1/21,"Bellingham, WA: Bellingham International",BELLINGHAM,WASHINGTON,USA,0,4,4
7/1/21,"Seattle, WA: Boeing Field/King County International",SEATTLE,WASHINGTON,USA,0,25,25
7/1/21,"Seattle, WA: Lake Union Terminal",SEATTLE,WASHINGTON,USA,0,5,5
7/1/21,"Seattle, WA: Seattle/Tacoma International",SEATTLE,WASHINGTON,USA,153061,0,153061
7/1/21,"Casper, WY: Casper/Natrona County International",CASPER,WYOMING,USA,0,4,4
7/1/21,"Jackson, WY: Jackson Hole",JACKSON,WYOMING,USA,0,2,2
7/1/21,"Christiansted, VI: Henry E. Rohlsen",CHRISTIANSTED,ST.CROIX,USVI,0,16,16
7/1/21,"Charlotte Amalie, VI: Cyril E King",CHARLOTTE AMALIE,ST.THOMAS,USVI,414,0,414
8/1/19,"Guam, TT: Guam International",GUAM ISLAND,#VALUE!,#VALUE!,204815,0,204815
8/1/19,"Pago Pago, TT: Pago Pago International",PAGO PAGO,#VALUE!,#VALUE!,11920,0,11920
8/1/19,"Saipan, TT: Francisco C. Ada Saipan International",SAIPAN,#VALUE!,#VALUE!,37867,982,38849
8/1/19,"San Juan, PR: Isla Grande",SAN JUAN,#VALUE!,#VALUE!,0,16,16
8/1/19,"San Juan, PR: Luis Munoz Marin International",SAN JUAN,#VALUE!,#VALUE!,70729,216,70945
8/1/19,"Kona, HI: Ellison Onizuka Kona International at Keahole",KONA,HAWAII,"HAWAII, USA",16011,0,16011
8/1/19,"Kahului, HI: Kahului Airport",KAHULUI,MAUI,"HAWAII, USA",10012,4932,14944
8/1/19,"Honolulu, HI: Daniel K Inouye International",HONOLULU,OAHU,"HAWAII, USA",453797,7513,461310
8/1/19,"Hartford, CT: Bradley International",HARTFORD,CT/SPRINGFIELD,"MA, USA",19215,11,19226
8/1/19,"Huntsville, AL: Huntsville International-Carl T Jones Field",HUNTSVILLE/DECATUR,ALABAMA,USA,0,7,7
8/1/19,"Anchorage, AK: Ted Stevens Anchorage International",ANCHORAGE,ALASKA,USA,22204,19,22223
8/1/19,"Fairbanks, AK: Fairbanks International",FAIRBANKS,ALASKA,USA,1146,0,1146
8/1/19,"Juneau, AK: Juneau International",JUNEAU,ALASKA,USA,45,5,50
8/1/19,"Nome, AK: Nome Airport",NOME,ALASKA,USA,0,132,132
8/1/19,"Phoenix, AZ: Phoenix Sky Harbor International",PHOENIX,ARIZONA,USA,135172,0,135172
8/1/19,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",LITTLE ROCK,ARKANSAS,USA,158,0,158
8/1/19,"Burbank, CA: Bob Hope",BURBANK,CALIFORNIA,USA,0,7,7
8/1/19,"Fresno, CA: Fresno Yosemite International",FRESNO,CALIFORNIA,USA,22698,0,22698
8/1/19,"Palm Springs, CA: Palm Springs International",INDIO/PALM SPRINGS,CALIFORNIA,USA,8227,0,8227
8/1/19,"Los Angeles, CA: Los Angeles International",LOS ANGELES,CALIFORNIA,USA,2409914,105,2410019
8/1/19,"Van Nuys, CA: Van Nuys Airport",LOS ANGELES,CALIFORNIA,USA,0,22,22
8/1/19,"Monterey, CA: Monterey Regional",MONTEREY,CALIFORNIA,USA,0,19,19
8/1/19,"Napa, CA: Napa County",NAPA,CALIFORNIA,USA,0,11,11
8/1/19,"Oakland, CA: Metro Oakland International",OAKLAND,CALIFORNIA,USA,75022,1429,76451
8/1/19,"Ontario, CA: Ontario International",ONTARIO,CALIFORNIA,USA,25085,0,25085
8/1/19,"Sacramento, CA: Sacramento International",SACRAMENTO,CALIFORNIA,USA,28654,4,28658
8/1/19,"San Diego, CA: Brown Field Municipal",SAN DIEGO,CALIFORNIA,USA,0,14,14
8/1/19,"San Diego, CA: San Diego International",SAN DIEGO,CALIFORNIA,USA,98481,1,98482
8/1/19,"San Francisco, CA: San Francisco International",SAN FRANCISCO,CALIFORNIA,USA,1491672,31,1491703
8/1/19,"San Jose, CA: Norman Y. Mineta San Jose International",SAN JOSE,CALIFORNIA,USA,77770,5,77775
8/1/19,"Santa Ana, CA: John Wayne Airport-Orange County",SANTA ANA,CALIFORNIA,USA,11209,0,11209
8/1/19,"Santa Barbara, CA: Santa Barbara Municipal",SANTA BARBARA,CALIFORNIA,USA,0,4,4
8/1/19,"Truckee, CA: Truckee Tahoe",TRUCKEE,CALIFORNIA,USA,0,5,5
8/1/19,"Colorado Springs, CO: City of Colorado Springs Municipal",COLORADO SPRINGS,COLORADO,USA,0,2,2
8/1/19,"Denver, CO: Denver International",DENVER,COLORADO,USA,281270,55,281325
8/1/19,"Eagle, CO: Eagle County Regional",EAGLE,COLORADO,USA,0,2,2
8/1/19,"Grand Junction, CO: Grand Junction Regional",GRAND JUNCTION,COLORADO,USA,49,0,49
8/1/19,"Washington, DC: Ronald Reagan Washington National",WASHINGTON,D.C.,USA,38783,0,38783
8/1/19,"Washington, DC: Washington Dulles International",WASHINGTON,D.C.,USA,861961,1776,863737
8/1/19,"West Palm Beach, FL: Palm Beach County Park",WEST PALM BEACH,FL-COUNTY,USA,0,8,8
8/1/19,"Fort Lauderdale, FL: Fort Lauderdale Executive",FT. LAUDERDALE,FLORIDA,USA,948,129,1077
8/1/19,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FT. LAUDERDALE,FLORIDA,USA,768932,1037,769969
8/1/19,"Fort Myers, FL: Southwest Florida International",FT. MYERS,FLORIDA,USA,16013,0,16013
8/1/19,"Jacksonville, FL: Jacksonville International",JACKSONVILLE,FLORIDA,USA,134,0,134
8/1/19,"Key West, FL: Key West International",KEY WEST,FLORIDA,USA,121,0,121
8/1/19,"Miami, FL: Miami International",MIAMI,FLORIDA,USA,1843552,4616,1848168
8/1/19,"Miami, FL: Miami Opa Locka Executive",MIAMI,FLORIDA,USA,0,49,49
8/1/19,"Miami, FL: Watson Island International",MIAMI,FLORIDA,USA,445,30,475
8/1/19,"Orlando, FL: Executive",ORLANDO,FLORIDA,USA,0,14,14
8/1/19,"Orlando, FL: Orlando International",ORLANDO,FLORIDA,USA,672904,64,672968
8/1/19,"Sanford, FL: Orlando Sanford International",SANFORD,FLORIDA,USA,4720,26171,30891
8/1/19,"St. Petersburg, FL: St Pete Clearwater International",ST. PETERSBURG,FLORIDA,USA,0,117,117
8/1/19,"Tampa, FL: Tampa International",TAMPA,FLORIDA,USA,93234,378,93612
